[2026-09-22T00:28:38.567+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:38,567 | INFO     | media.image_downloader | Downloaded background image for scene='bar' -> /opt/airflow/output/images/long_3752.jpg
[2026-09-22T00:28:44.816+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:44,816 | WARNING  | video.video_builder | BGM file not found at /opt/airflow/assets/bgm/long_bgm.mp3, rendering without background music
[2026-09-22T00:29:08.135+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:29:08,135 | INFO     | video.video_builder | Final video rendered -> /opt/airflow/output/videos/long_3646.mp4
[2026-09-22T00:29:11.878+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:29:11,878 | INFO     | media.thumbnail_builder | Built thumbnail -> /opt/airflow/output/thumbnails/long_3646.jpg
[2026-09-22T00:29:12.134+0000] {python.py:237} INFO - Done. Returned value was: {'video_id': 451, 'file_path': '/opt/airflow/output/videos/long_3646.mp4', 'thumbnail_path': '/opt/airflow/output/thumbnails/long_3646.jpg', 'title': "Small Talk: 20 Natural English Phrases You'll Actually Use", 'description': 'Master the art of small talk with 20 essential English phrases that native speakers use every day. If you struggle to keep a conversation going or feel like your English sounds too textbook-ish, this lesson is for you. From asking to sit down to offering to pay the bill, learn how to sound more natural and confident in daily social interactions. Perfect for Japanese speakers looking to bridge the gap between classroom English and real-world conversation. Improve your fluency and start connecting with people naturally today!', 'tags': ['small talk', 'spoken English', 'English for Japanese speakers', 'natural English', 'daily English phrases', 'English conversation', "Taky's Language School", 'learn English', 'ESL', 'practical English'], 'video_type': 'long'}
[2026-09-22T00:29:12.136+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-09-22T00:29:12.183+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=youtube_english_video_pipeline, task_id=build_long_video_4, run_id=scheduled__2026-09-20T12:00:00+00:00, execution_date=20260920T120000, start_date=20260922T002710, end_date=20260922T002912
[2026-09-22T00:29:12.263+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2026-09-22T00:29:12.504+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2026-09-22T00:29:12.509+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
