[2026-07-25T08:37:58.594+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:58,594 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_280.mp3
[2026-07-25T08:37:59.213+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:59,213 | INFO     | media.image_downloader | Downloaded background image for scene='calendar' -> /opt/airflow/output/images/long_280.jpg
[2026-07-25T08:38:02.437+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:38:02,437 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_284.mp3
[2026-07-25T08:38:02.947+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:38:02,947 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_284.mp3
[2026-07-25T08:38:03.759+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:38:03,759 | INFO     | media.image_downloader | Downloaded background image for scene='bedroom' -> /opt/airflow/output/images/long_284.jpg
[2026-07-25T08:38:07.145+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:38:07,145 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_270.mp3
[2026-07-25T08:38:07.646+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:38:07,646 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_270.mp3
[2026-07-25T08:38:08.574+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:38:08,574 | INFO     | media.image_downloader | Downloaded background image for scene='airplane' -> /opt/airflow/output/images/long_270.jpg
[2026-07-25T08:38:14.311+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:38:14,311 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_289.mp3
[2026-07-25T08:38:14.605+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:38:14,605 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_289.mp3
[2026-07-25T08:38:14.819+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:38:14,819 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_289.jpg
[2026-07-25T08:38:18.079+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:38:18,078 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_288.mp3
[2026-07-25T08:38:18.443+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:38:18,443 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_288.mp3
[2026-07-25T08:38:18.630+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:38:18,630 | INFO     | media.image_downloader | Downloaded background image for scene='city' -> /opt/airflow/output/images/long_288.jpg
[2026-07-25T08:38:22.063+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:38:22,063 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_287.mp3
[2026-07-25T08:38:22.317+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:38:22,316 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_287.mp3
[2026-07-25T08:38:22.544+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:38:22,544 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_287.jpg
[2026-07-25T08:38:25.796+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:38:25,796 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_286.mp3
[2026-07-25T08:38:26.266+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:38:26,266 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_286.mp3
[2026-07-25T08:38:26.430+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:38:26,429 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_286.jpg
[2026-07-25T08:38:30.261+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:38:30,261 | WARNING  | video.video_builder | BGM file not found at /opt/airflow/assets/bgm/long_bgm.mp3, rendering without background music
[2026-07-25T08:38:54.888+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:38:54,888 | INFO     | video.video_builder | Final video rendered -> /opt/airflow/output/videos/long_271.mp4
[2026-07-25T08:39:01.898+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:01,898 | INFO     | media.thumbnail_builder | Built thumbnail -> /opt/airflow/output/thumbnails/long_271.jpg
[2026-07-25T08:39:01.950+0000] {python.py:237} INFO - Done. Returned value was: {'video_id': 44, 'file_path': '/opt/airflow/output/videos/long_271.mp4', 'thumbnail_path': '/opt/airflow/output/thumbnails/long_271.jpg', 'title': 'Master 20 Practical English Expressions for Daily Life & Travel', 'description': "Welcome to Taky's Language School! In this video, you will learn 20 essential English expressions for daily conversations, travel, and social situations.\n\nMaster key phrases like:\n- I'd like to check in, please\n- How's everything going?\n- It completely slipped my mind\n- Could you give me a hand?\n- That makes sense... and many more!\n\nBoost your English fluency, improve your listening skills, and sound like a native speaker. Don't forget to like, comment, and subscribe to Taky's Language School for more real-life English lessons!", 'tags': ['learn English', 'English expressions', 'spoken English', "Taky's Language School", 'daily English conversation', 'practical English phrases', 'travel English', 'English speaking practice', 'speak English fluently', 'English phrases'], 'video_type': 'long'}
[2026-07-25T08:39:01.950+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-07-25T08:39:01.967+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=youtube_english_video_pipeline, task_id=build_long_video_6, run_id=manual__2026-07-25T08:23:54.309173+00:00, execution_date=20260725T082354, start_date=20260725T083629, end_date=20260725T083901
[2026-07-25T08:39:02.027+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2026-07-25T08:39:02.162+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2026-07-25T08:39:02.165+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
