[2026-07-27T12:07:27.715+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:27,715 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1026.mp3
[2026-07-27T12:07:28.322+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:28,322 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1026.jpg
[2026-07-27T12:07:32.752+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:32,752 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1027.mp3
[2026-07-27T12:07:33.474+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:33,474 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1027.mp3
[2026-07-27T12:07:33.693+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:33,692 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_1027.jpg
[2026-07-27T12:07:38.353+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:38,353 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1029.mp3
[2026-07-27T12:07:38.938+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:38,938 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1029.mp3
[2026-07-27T12:07:40.004+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:40,004 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_1029.jpg
[2026-07-27T12:07:44.959+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:44,959 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1030.mp3
[2026-07-27T12:07:45.605+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:45,605 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1030.mp3
[2026-07-27T12:07:46.002+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:46,002 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_1030.jpg
[2026-07-27T12:07:50.728+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:50,728 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1031.mp3
[2026-07-27T12:07:51.263+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:51,263 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1031.mp3
[2026-07-27T12:07:51.623+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:51,623 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_1031.jpg
[2026-07-27T12:07:55.968+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:55,968 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1032.mp3
[2026-07-27T12:07:56.635+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:56,635 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1032.mp3
[2026-07-27T12:07:57.029+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:57,029 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1032.jpg
[2026-07-27T12:08:01.455+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:08:01,454 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1033.mp3
[2026-07-27T12:08:02.024+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:08:02,024 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1033.mp3
[2026-07-27T12:08:02.243+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:08:02,243 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1033.jpg
[2026-07-27T12:08:06.722+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:08:06,722 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1034.mp3
[2026-07-27T12:08:07.343+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:08:07,343 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1034.mp3
[2026-07-27T12:08:07.973+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:08:07,973 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1034.jpg
[2026-07-27T12:08:11.984+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:08:11,984 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1035.mp3
[2026-07-27T12:08:12.512+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:08:12,512 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1035.mp3
[2026-07-27T12:08:13.009+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:08:13,008 | INFO     | media.image_downloader | Downloaded background image for scene='cafeteria' -> /opt/airflow/output/images/long_1035.jpg
[2026-07-27T12:08:16.980+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:08:16,980 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1036.mp3
