[2026-07-29T12:34:48.888+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:48,888 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1288.mp3
[2026-07-29T12:34:49.344+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:49,344 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1288.jpg
[2026-07-29T12:34:54.102+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:54,102 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1289.mp3
[2026-07-29T12:34:54.684+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:54,684 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1289.mp3
[2026-07-29T12:34:56.117+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:56,117 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_1289.jpg
[2026-07-29T12:35:00.655+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:35:00,655 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1290.mp3
[2026-07-29T12:35:01.253+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:35:01,253 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1290.mp3
[2026-07-29T12:35:01.665+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:35:01,665 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1290.jpg
[2026-07-29T12:35:07.268+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:35:07,267 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1291.mp3
[2026-07-29T12:35:07.860+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:35:07,860 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1291.mp3
[2026-07-29T12:35:08.292+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:35:08,291 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1291.jpg
[2026-07-29T12:35:18.482+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:35:18,469 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1292.mp3
[2026-07-29T12:35:19.047+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:35:19,047 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1292.mp3
[2026-07-29T12:35:19.905+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:35:19,903 | INFO     | media.image_downloader | Downloaded background image for scene='train' -> /opt/airflow/output/images/long_1292.jpg
[2026-07-29T12:35:32.269+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:35:32,262 | WARNING  | video.video_builder | BGM file not found at /opt/airflow/assets/bgm/long_bgm.mp3, rendering without background music
[2026-07-29T12:36:09.695+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:36:09,694 | INFO     | video.video_builder | Final video rendered -> /opt/airflow/output/videos/long_1267.mp4
[2026-07-29T12:36:16.588+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:36:16,587 | INFO     | media.thumbnail_builder | Built thumbnail -> /opt/airflow/output/thumbnails/long_1267.jpg
[2026-07-29T12:36:17.267+0000] {python.py:237} INFO - Done. Returned value was: {'video_id': 146, 'file_path': '/opt/airflow/output/videos/long_1267.mp4', 'thumbnail_path': '/opt/airflow/output/thumbnails/long_1267.jpg', 'title': "Top 20 Spoken English Expressions You Need Every Day | Taky's Language School", 'description': 'Master 20 essential English expressions for daily conversations, travel, work, and dining out! In this practical lesson from Taky\'s Language School, you\'ll learn natural spoken phrases like "Let\'s touch base," "Could you elaborate on that?", "Is this seat taken?", and "What do you recommend?" with real-life example sentences.\n\nTopics covered in this video:\n- Business & Work: touch base, call it a day, hold on a second\n- Travel & Airport: boarding gate, check in, luggage pickup\n- Daily Life & Dining: pay by card, to go, recommendations\n\nImprove your English speaking fluency and confidence today! Subscribe to Taky\'s Language School for more real-world English lessons.', 'tags': ['learn English', 'spoken English', 'English expressions', "Taky's Language School", 'English conversation', 'daily English phrases', 'business English', 'travel English phrases', 'English speaking practice', 'practical English', 'English phrasebook'], 'video_type': 'long'}
[2026-07-29T12:36:17.273+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-07-29T12:36:17.364+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=youtube_english_video_pipeline, task_id=build_long_video_2, run_id=scheduled__2026-07-28T12:00:00+00:00, execution_date=20260728T120000, start_date=20260729T123254, end_date=20260729T123617
[2026-07-29T12:36:17.595+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2026-07-29T12:36:20.274+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2026-07-29T12:36:20.282+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
