[2026-09-07T11:25:25.050+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:25:25,050 | INFO     | media.image_downloader | Downloaded background image for scene='desk' -> /opt/airflow/output/images/long_2657.jpg
[2026-09-07T11:25:29.279+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:25:29,278 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2658.mp3
[2026-09-07T11:25:29.806+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:25:29,806 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2658.mp3
[2026-09-07T11:25:30.654+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:25:30,654 | INFO     | media.image_downloader | Downloaded background image for scene='gate' -> /opt/airflow/output/images/long_2658.jpg
[2026-09-07T11:25:34.057+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:25:34,056 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2659.mp3
[2026-09-07T11:25:34.564+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:25:34,563 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2659.mp3
[2026-09-07T11:25:34.885+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:25:34,885 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_2659.jpg
[2026-09-07T11:25:39.667+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:25:39,667 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2660.mp3
[2026-09-07T11:25:40.226+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:25:40,226 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2660.mp3
[2026-09-07T11:25:40.472+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:25:40,472 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_2660.jpg
[2026-09-07T11:25:45.290+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:25:45,290 | WARNING  | video.video_builder | BGM file not found at /opt/airflow/assets/bgm/long_bgm.mp3, rendering without background music
[2026-09-07T11:26:08.452+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:26:08,452 | INFO     | video.video_builder | Final video rendered -> /opt/airflow/output/videos/long_2645.mp4
[2026-09-07T11:26:16.047+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:26:16,047 | WARNING  | generators.metadata_generator | Metadata generation via Gemini failed, using fallback: RetryError[<Future at 0x71bb967df550 state=finished raised ResourceExhausted>]
[2026-09-07T11:26:16.140+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:26:16,139 | INFO     | media.thumbnail_builder | Built thumbnail -> /opt/airflow/output/thumbnails/long_2645.jpg
[2026-09-07T11:26:16.255+0000] {python.py:237} INFO - Done. Returned value was: {'video_id': 305, 'file_path': '/opt/airflow/output/videos/long_2645.mp4', 'thumbnail_path': '/opt/airflow/output/thumbnails/long_2645.jpg', 'title': '16 Daily English Expressions | Mixed English Expressions', 'description': "Learn natural English expressions with examples.\n\n- I'm just browsing, thank you.\n- Can I leave my luggage here?\n- What do you recommend?\n- Sorry to interrupt, but...\n- What have you been up to lately?\n- Is there a direct flight?\n- Could we split the bill?\n- Do you take contactless payment?\n- I'm looking forward to it.\n- What time is checkout?", 'tags': ['english', 'learnenglish', 'dailyenglish', 'englishphrases'], 'video_type': 'long'}
[2026-09-07T11:26:16.256+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-09-07T11:26:16.272+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=youtube_english_video_pipeline, task_id=build_long_video_3, run_id=manual__2026-09-07T11:05:33.821274+00:00, execution_date=20260907T110533, start_date=20260907T112420, end_date=20260907T112616
[2026-09-07T11:26:16.316+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2026-09-07T11:26:16.461+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2026-09-07T11:26:16.463+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
