[2026-09-20T12:05:44.619+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:44,619 | INFO     | media.image_downloader | Downloaded background image for scene='friends' -> /opt/airflow/output/images/long_3343.jpg
[2026-09-20T12:05:48.500+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:48,500 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3319.mp3
[2026-09-20T12:05:48.788+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:48,788 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3319.mp3
[2026-09-20T12:05:51.046+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:51,046 | INFO     | media.image_downloader | Downloaded background image for scene='customer service' -> /opt/airflow/output/images/long_3319.jpg
[2026-09-20T12:05:55.027+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:55,027 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3375.mp3
[2026-09-20T12:05:55.266+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:55,266 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3375.mp3
[2026-09-20T12:05:55.753+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:55,753 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_3375.jpg
[2026-09-20T12:06:00.269+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:00,269 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3367.mp3
[2026-09-20T12:06:00.615+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:00,615 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3367.mp3
[2026-09-20T12:06:01.057+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:01,057 | INFO     | media.image_downloader | Downloaded background image for scene='friends' -> /opt/airflow/output/images/long_3367.jpg
[2026-09-20T12:06:04.873+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:04,873 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3376.mp3
[2026-09-20T12:06:05.226+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:05,226 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3376.mp3
[2026-09-20T12:06:05.674+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:05,674 | INFO     | media.image_downloader | Downloaded background image for scene='clothing store' -> /opt/airflow/output/images/long_3376.jpg
[2026-09-20T12:06:09.539+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:09,539 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3374.mp3
[2026-09-20T12:06:09.905+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:09,905 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3374.mp3
[2026-09-20T12:06:10.400+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:10,399 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_3374.jpg
[2026-09-20T12:06:13.827+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:13,827 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3372.mp3
[2026-09-20T12:06:14.232+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:14,232 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3372.mp3
[2026-09-20T12:06:15.123+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:15,123 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_3372.jpg
[2026-09-20T12:06:19.374+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:19,374 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3366.mp3
[2026-09-20T12:06:19.694+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:19,694 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3366.mp3
[2026-09-20T12:06:20.486+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:20,486 | INFO     | media.image_downloader | Downloaded background image for scene='meeting' -> /opt/airflow/output/images/long_3366.jpg
[2026-09-20T12:06:23.831+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:23,831 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3361.mp3
[2026-09-20T12:06:24.090+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:24,090 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3361.mp3
[2026-09-20T12:06:24.595+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:24,594 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3361.jpg
[2026-09-20T12:06:27.804+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:27,804 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3371.mp3
[2026-09-20T12:06:28.125+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:28,125 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3371.mp3
[2026-09-20T12:06:28.622+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:28,622 | INFO     | media.image_downloader | Downloaded background image for scene='friends' -> /opt/airflow/output/images/long_3371.jpg
[2026-09-20T12:06:32.223+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:32,223 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3386.mp3
[2026-09-20T12:06:32.534+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:32,534 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3386.mp3
[2026-09-20T12:06:33.012+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:33,012 | INFO     | media.image_downloader | Downloaded background image for scene='commute' -> /opt/airflow/output/images/long_3386.jpg
[2026-09-20T12:06:37.840+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:06:37,840 | WARNING  | video.video_builder | BGM file not found at /opt/airflow/assets/bgm/long_bgm.mp3, rendering without background music
[2026-09-20T12:07:07.442+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:07:07,442 | INFO     | video.video_builder | Final video rendered -> /opt/airflow/output/videos/long_3329.mp4
[2026-09-20T12:07:11.081+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:07:11,081 | INFO     | media.thumbnail_builder | Built thumbnail -> /opt/airflow/output/thumbnails/long_3329.jpg
[2026-09-20T12:07:11.204+0000] {python.py:237} INFO - Done. Returned value was: {'video_id': 419, 'file_path': '/opt/airflow/output/videos/long_3329.mp4', 'thumbnail_path': '/opt/airflow/output/thumbnails/long_3329.jpg', 'title': "20 Essential English Phrases for Daily Conversations | Taky's Language School", 'description': "Master real-world English with Taky's Language School! In this video, we cover 20 essential English expressions you need for everyday situations. Whether you are dining out, shopping, or meeting friends, these practical phrases will help you sound more natural and confident. Learn how to ask for help, make reservations, clarify what you heard, and handle being late. These expressions are perfect for beginners and intermediate learners looking to improve their spoken English. Watch until the end to practice these common patterns and start using them in your daily life today! Don't forget to subscribe for more English lessons.", 'tags': ['learn English', 'English phrases', 'spoken English', 'English for beginners', 'daily English expressions', "Taky's Language School", 'conversational English', 'English speaking practice', 'ESL lessons', 'improve English fluency'], 'video_type': 'long'}
[2026-09-20T12:07:11.204+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-09-20T12:07:11.220+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=youtube_english_video_pipeline, task_id=build_long_video_3, run_id=scheduled__2026-09-19T12:00:00+00:00, execution_date=20260919T120000, start_date=20260920T120503, end_date=20260920T120711
[2026-09-20T12:07:11.268+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2026-09-20T12:07:11.398+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2026-09-20T12:07:11.401+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
