[2026-07-25T08:39:30.208+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-25T08:39:30.235+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 manual__2026-07-25T08:23:54.309173+00:00 [queued]>
[2026-07-25T08:39:30.255+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 manual__2026-07-25T08:23:54.309173+00:00 [queued]>
[2026-07-25T08:39:30.264+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-25T08:39:30.277+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_7> on 2026-07-25 08:23:54.309173+00:00
[2026-07-25T08:39:30.287+0000] {standard_task_runner.py:64} INFO - Started process 27574 to run task
[2026-07-25T08:40:34.077+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:34,077 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_318.mp3
[2026-07-25T08:40:34.320+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:34,320 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_318.jpg
[2026-07-25T08:40:37.363+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:37,363 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_319.mp3
[2026-07-25T08:40:37.724+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:37,724 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_319.mp3
[2026-07-25T08:40:38.056+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:38,056 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_319.jpg
[2026-07-25T08:40:41.732+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:41,731 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_320.mp3
[2026-07-25T08:40:42.058+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:42,058 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_320.mp3
[2026-07-25T08:40:42.329+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:42,329 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_320.jpg
[2026-07-25T08:40:45.613+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:45,613 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_321.mp3
[2026-07-25T08:40:45.943+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:45,943 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_321.mp3
[2026-07-25T08:40:46.111+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:46,111 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_321.jpg
[2026-07-25T08:40:50.000+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:50,000 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_293.mp3
[2026-07-25T08:40:50.360+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:50,360 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_293.mp3
[2026-07-25T08:40:50.544+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:50,544 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_293.jpg
[2026-07-25T08:40:54.952+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:54,952 | WARNING  | video.video_builder | BGM file not found at /opt/airflow/assets/bgm/long_bgm.mp3, rendering without background music
[2026-07-25T08:41:20.638+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:41:20,637 | INFO     | video.video_builder | Final video rendered -> /opt/airflow/output/videos/long_294.mp4
[2026-07-25T08:41:41.586+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:41:41,586 | INFO     | media.thumbnail_builder | Built thumbnail -> /opt/airflow/output/thumbnails/long_294.jpg
[2026-07-25T08:41:41.713+0000] {python.py:237} INFO - Done. Returned value was: {'video_id': 46, 'file_path': '/opt/airflow/output/videos/long_294.mp4', 'thumbnail_path': '/opt/airflow/output/thumbnails/long_294.jpg', 'title': '20 Everyday English Phrases You Need to Know | Spoken English Practice', 'description': 'Master 20 essential English expressions for daily conversations, travel, work, and social interactions! In this video from Taky\'s Language School, you\'ll learn natural phrases like "That makes sense," "Touch base," "Call it a day," and useful travel English.\n\nPhrases Covered Include:\n• Daily Social Chat & Small Talk\n• Business & Work Communication\n• Hotel & Airport Travel Expressions\n• Asking for Help & Clarification\n\nImprove your English speaking fluency and sound more natural. Subscribe to Taky\'s Language School for weekly real-life English lessons!', 'tags': ['spoken english', 'english phrases', 'learn english', 'daily english expressions', 'english conversation practice', 'practical english', 'takys language school', 'travel english', 'business english phrases', 'english speaking practice', 'fluent english'], 'video_type': 'long'}
[2026-07-25T08:41:41.714+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-07-25T08:41:41.731+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=youtube_english_video_pipeline, task_id=build_long_video_7, run_id=manual__2026-07-25T08:23:54.309173+00:00, execution_date=20260725T082354, start_date=20260725T083930, end_date=20260725T084141
[2026-07-25T08:41:41.760+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2026-07-25T08:41:41.901+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2026-07-25T08:41:41.906+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
