[2026-09-21T01:05:27.562+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:27,562 | INFO     | media.image_downloader | Downloaded background image for scene='city' -> /opt/airflow/output/images/long_3620.jpg
[2026-09-21T01:05:32.297+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:32,296 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3623.mp3
[2026-09-21T01:05:32.652+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:32,652 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3623.mp3
[2026-09-21T01:05:33.171+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:33,171 | INFO     | media.image_downloader | Downloaded background image for scene='city' -> /opt/airflow/output/images/long_3623.jpg
[2026-09-21T01:05:37.174+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:37,174 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3624.mp3
[2026-09-21T01:05:37.451+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:37,451 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3624.mp3
[2026-09-21T01:05:38.051+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:38,051 | INFO     | media.image_downloader | Downloaded background image for scene='greeting' -> /opt/airflow/output/images/long_3624.jpg
[2026-09-21T01:05:41.082+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:41,082 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3629.mp3
[2026-09-21T01:05:41.295+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:41,294 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3629.mp3
[2026-09-21T01:05:41.873+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:41,873 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3629.jpg
[2026-09-21T01:05:46.201+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:46,200 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3639.mp3
[2026-09-21T01:05:46.488+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:46,488 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3639.mp3
[2026-09-21T01:05:46.974+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:46,974 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3639.jpg
[2026-09-21T01:05:50.472+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:50,471 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3640.mp3
[2026-09-21T01:05:50.894+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:50,894 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3640.mp3
[2026-09-21T01:05:51.452+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:51,452 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3640.jpg
[2026-09-21T01:05:57.514+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:57,514 | WARNING  | video.video_builder | BGM file not found at /opt/airflow/assets/bgm/long_bgm.mp3, rendering without background music
[2026-09-21T01:06:26.240+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:06:26,240 | INFO     | video.video_builder | Final video rendered -> /opt/airflow/output/videos/long_3549.mp4
[2026-09-21T01:06:27.945+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:06:27,945 | INFO     | media.thumbnail_builder | Built thumbnail -> /opt/airflow/output/thumbnails/long_3549.jpg
[2026-09-21T01:06:28.067+0000] {python.py:237} INFO - Done. Returned value was: {'video_id': 437, 'file_path': '/opt/airflow/output/videos/long_3549.mp4', 'thumbnail_path': '/opt/airflow/output/thumbnails/long_3549.jpg', 'title': '20 Essential English Phrases for Small Talk | Speak English Confidently', 'description': "Master natural English conversations with these 20 essential small talk phrases! Whether you're meeting new people, ordering coffee, or asking for help, these practical expressions will help you sound more fluent and confident in daily life. In this video from Taky's Language School, we cover common phrases like 'How's it going?', 'Is this seat taken?', and 'Could you speak a little slower?' with real-life context examples. Perfect for English learners looking to improve their speaking skills and navigate social situations with ease. Don't forget to subscribe for more English lessons to boost your communication skills! #EnglishLearning #SmallTalk #SpeakEnglish #LearnEnglish #EnglishPhrases #TakysLanguageSchool", 'tags': ['English conversation', 'small talk phrases', 'learn English', 'English speaking practice', 'English for beginners', 'daily English expressions', "Taky's Language School", 'improve English fluency', 'spoken English', 'English phrases for daily life'], 'video_type': 'long'}
[2026-09-21T01:06:28.068+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-09-21T01:06:28.093+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=youtube_english_video_pipeline, task_id=build_long_video_2, run_id=manual__2026-09-21T01:00:56.686308+00:00, execution_date=20260921T010056, start_date=20260921T010415, end_date=20260921T010628
[2026-09-21T01:06:28.146+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2026-09-21T01:06:28.408+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2026-09-21T01:06:28.412+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
