[2026-09-20T11:26:03.910+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:03,910 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3177.mp3
[2026-09-20T11:26:04.216+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:04,216 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3177.mp3
[2026-09-20T11:26:04.716+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:04,716 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3177.jpg
[2026-09-20T11:26:09.513+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:09,513 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3216.mp3
[2026-09-20T11:26:09.767+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:09,767 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3216.mp3
[2026-09-20T11:26:10.449+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:10,448 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3216.jpg
[2026-09-20T11:26:15.563+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:15,563 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3164.mp3
[2026-09-20T11:26:16.046+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:16,046 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3164.mp3
[2026-09-20T11:26:16.457+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:16,457 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3164.jpg
[2026-09-20T11:26:22.369+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:22,369 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3270.mp3
[2026-09-20T11:26:22.812+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:22,812 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3270.mp3
[2026-09-20T11:26:23.358+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:23,357 | INFO     | media.image_downloader | Downloaded background image for scene='social' -> /opt/airflow/output/images/long_3270.jpg
[2026-09-20T11:26:28.544+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:28,544 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3269.mp3
[2026-09-20T11:26:28.869+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:28,869 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3269.mp3
[2026-09-20T11:26:29.721+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:29,721 | INFO     | media.image_downloader | Downloaded background image for scene='salon' -> /opt/airflow/output/images/long_3269.jpg
[2026-09-20T11:26:34.878+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:34,878 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3267.mp3
[2026-09-20T11:26:35.197+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:35,197 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3267.mp3
[2026-09-20T11:26:35.730+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:35,730 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3267.jpg
[2026-09-20T11:26:40.825+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:40,825 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3256.mp3
[2026-09-20T11:26:41.153+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:41,153 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3256.mp3
[2026-09-20T11:26:41.744+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:41,744 | INFO     | media.image_downloader | Downloaded background image for scene='conversation' -> /opt/airflow/output/images/long_3256.jpg
[2026-09-20T11:26:46.823+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:46,823 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3278.mp3
[2026-09-20T11:26:47.129+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:47,129 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3278.mp3
[2026-09-20T11:26:47.606+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:47,606 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3278.jpg
[2026-09-20T11:26:52.595+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:52,594 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3274.mp3
[2026-09-20T11:26:52.917+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:52,917 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3274.mp3
[2026-09-20T11:26:53.537+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:53,536 | INFO     | media.image_downloader | Downloaded background image for scene='greeting' -> /opt/airflow/output/images/long_3274.jpg
[2026-09-20T11:26:59.699+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:26:59,698 | WARNING  | video.video_builder | BGM file not found at /opt/airflow/assets/bgm/long_bgm.mp3, rendering without background music
[2026-09-20T11:27:32.746+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:27:32,745 | INFO     | video.video_builder | Final video rendered -> /opt/airflow/output/videos/long_3099.mp4
[2026-09-20T11:27:37.078+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:27:37,078 | INFO     | media.thumbnail_builder | Built thumbnail -> /opt/airflow/output/thumbnails/long_3099.jpg
[2026-09-20T11:27:37.415+0000] {python.py:237} INFO - Done. Returned value was: {'video_id': 411, 'file_path': '/opt/airflow/output/videos/long_3099.mp4', 'thumbnail_path': '/opt/airflow/output/thumbnails/long_3099.jpg', 'title': "20 Essential English Phrases for Daily Conversations | Taky's Language School", 'description': "Master 20 practical English expressions to sound more natural in daily life! Whether you are checking into a hotel, dining out, or asking for help, these common phrases will boost your confidence. In this lesson, we cover essential phrases for travel, business, and social situations, including how to ask for clarification, request assistance, and handle appointments. Perfect for intermediate learners looking to improve their speaking skills. Don't forget to practice along with me! Subscribe to Taky's Language School for more English speaking tips and daily conversation practice.", 'tags': ['English phrases', 'learn English', 'spoken English', 'English conversation', 'English speaking practice', "Taky's Language School", 'daily English expressions', 'English for beginners', 'how to speak English', 'English travel phrases'], 'video_type': 'long'}
[2026-09-20T11:27:37.416+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-09-20T11:27:37.453+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=youtube_english_video_pipeline, task_id=build_long_video_9, run_id=manual__2026-09-20T11:03:20.949531+00:00, execution_date=20260920T110320, start_date=20260920T112459, end_date=20260920T112737
[2026-09-20T11:27:37.526+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2026-09-20T11:27:37.541+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
