[2026-07-27T11:13:36.414+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:13:36,414 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_953.mp3
[2026-07-27T11:13:36.870+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:13:36,870 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_953.mp3
[2026-07-27T11:13:37.165+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:13:37,164 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_953.jpg
[2026-07-27T11:13:41.224+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:13:41,223 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_955.mp3
[2026-07-27T11:13:41.641+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:13:41,641 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_955.mp3
[2026-07-27T11:13:41.954+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:13:41,954 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_955.jpg
[2026-07-27T11:13:47.804+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:13:47,804 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_956.mp3
[2026-07-27T11:13:48.306+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:13:48,306 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_956.mp3
[2026-07-27T11:13:48.570+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:13:48,570 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_956.jpg
[2026-07-27T11:13:55.169+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:13:55,169 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_967.mp3
[2026-07-27T11:13:55.437+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:13:55,437 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_967.mp3
[2026-07-27T11:13:55.657+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:13:55,656 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_967.jpg
[2026-07-27T11:13:59.616+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:13:59,616 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_977.mp3
[2026-07-27T11:14:00.095+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:14:00,095 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_977.mp3
[2026-07-27T11:14:00.539+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:14:00,538 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_977.jpg
[2026-07-27T11:14:04.892+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:14:04,891 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_978.mp3
[2026-07-27T11:14:05.347+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:14:05,347 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_978.mp3
[2026-07-27T11:14:05.846+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:14:05,846 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_978.jpg
[2026-07-27T11:14:09.556+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:14:09,556 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_982.mp3
[2026-07-27T11:14:09.879+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:14:09,879 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_982.mp3
[2026-07-27T11:14:10.133+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:14:10,133 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_982.jpg
[2026-07-27T11:14:14.507+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:14:14,507 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_983.mp3
[2026-07-27T11:14:14.873+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:14:14,873 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_983.mp3
[2026-07-27T11:14:15.087+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:14:15,087 | INFO     | media.image_downloader | Downloaded background image for scene='subway' -> /opt/airflow/output/images/long_983.jpg
[2026-07-27T11:14:18.399+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:14:18,399 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_984.mp3
[2026-07-27T11:14:19.000+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:14:19,000 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_984.mp3
[2026-07-27T11:14:19.412+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:14:19,412 | INFO     | media.image_downloader | Downloaded background image for scene='cafeteria' -> /opt/airflow/output/images/long_984.jpg
[2026-07-27T11:14:25.340+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:14:25,340 | WARNING  | video.video_builder | BGM file not found at /opt/airflow/assets/bgm/long_bgm.mp3, rendering without background music
[2026-07-27T11:14:52.696+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:14:52,696 | INFO     | video.video_builder | Final video rendered -> /opt/airflow/output/videos/long_901.mp4
[2026-07-27T11:15:00.478+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:15:00,478 | INFO     | media.thumbnail_builder | Built thumbnail -> /opt/airflow/output/thumbnails/long_901.jpg
[2026-07-27T11:15:00.688+0000] {python.py:237} INFO - Done. Returned value was: {'video_id': 106, 'file_path': '/opt/airflow/output/videos/long_901.mp4', 'thumbnail_path': '/opt/airflow/output/thumbnails/long_901.jpg', 'title': '15 Essential English Phrases for Daily Conversation | Learn English', 'description': "Master daily English conversation with these essential phrases! In this lesson from Taky's Language School, you'll learn practical expressions used by native speakers in real-life situations.\n\nPhrases covered in this video:\n- Could you speak a bit slower?\n- That makes sense.\n- I didn't quite catch that.\n- Can I take a rain check?\n- I'm on my way.\n- Mind if I sit here? / Is this seat taken?\n- I'm running a bit late.\n- To be honest...\n- Could you give me a hand?\n- Never mind.\n- Take your time.\n- It slipped my mind.\n- How have you been?\n- Mind if I join you?\n\nImprove your English speaking skills and sound more natural today! Subscribe for more practical lessons.\n\n#LearnEnglish #SpokenEnglish #DailyEnglish #EnglishPhrases", 'tags': ['learn english', 'spoken english', 'english conversation', 'daily english phrases', "taky's language school", 'speak english naturally', 'essential english phrases', 'english speaking practice', 'daily conversation english', 'useful english phrases', 'english vocabulary', 'english for beginners'], 'video_type': 'long'}
[2026-07-27T11:15:00.690+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-07-27T11:15:00.716+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=youtube_english_video_pipeline, task_id=build_long_video_6, run_id=manual__2026-07-27T10:57:47.140907+00:00, execution_date=20260727T105747, start_date=20260727T111240, end_date=20260727T111500
[2026-07-27T11:15:00.769+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2026-07-27T11:15:00.931+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2026-07-27T11:15:00.935+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
