[2026-09-22T00:45:16.007+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:16,007 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3823.mp3
[2026-09-22T00:45:16.650+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:16,650 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3823.jpg
[2026-09-22T00:45:20.938+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:20,938 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3835.mp3
[2026-09-22T00:45:21.261+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:21,261 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3835.mp3
[2026-09-22T00:45:21.992+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:21,991 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3835.jpg
[2026-09-22T00:45:26.917+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:26,917 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3836.mp3
[2026-09-22T00:45:27.437+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:27,437 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3836.mp3
[2026-09-22T00:45:28.301+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:28,301 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_3836.jpg
[2026-09-22T00:45:33.822+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:33,822 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3843.mp3
[2026-09-22T00:45:34.039+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:34,039 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3843.mp3
[2026-09-22T00:45:34.689+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:34,689 | INFO     | media.image_downloader | Downloaded background image for scene='greeting' -> /opt/airflow/output/images/long_3843.jpg
[2026-09-22T00:45:38.873+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:38,873 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3846.mp3
[2026-09-22T00:45:39.119+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:39,118 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3846.mp3
[2026-09-22T00:45:39.917+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:39,917 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3846.jpg
[2026-09-22T00:45:44.906+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:44,905 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3860.mp3
[2026-09-22T00:45:45.258+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:45,258 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3860.mp3
[2026-09-22T00:45:46.047+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:46,047 | INFO     | media.image_downloader | Downloaded background image for scene='bar' -> /opt/airflow/output/images/long_3860.jpg
[2026-09-22T00:45:49.450+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:49,450 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3867.mp3
[2026-09-22T00:45:49.730+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:49,730 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3867.mp3
[2026-09-22T00:45:50.457+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:50,457 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_3867.jpg
[2026-09-22T00:45:56.299+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:56,299 | WARNING  | video.video_builder | BGM file not found at /opt/airflow/assets/bgm/long_bgm.mp3, rendering without background music
[2026-09-22T00:46:19.875+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:46:19,875 | INFO     | video.video_builder | Final video rendered -> /opt/airflow/output/videos/long_3768.mp4
[2026-09-22T00:46:22.279+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:46:22,279 | INFO     | media.thumbnail_builder | Built thumbnail -> /opt/airflow/output/thumbnails/long_3768.jpg
[2026-09-22T00:46:22.493+0000] {python.py:237} INFO - Done. Returned value was: {'video_id': 463, 'file_path': '/opt/airflow/output/videos/long_3768.mp4', 'thumbnail_path': '/opt/airflow/output/thumbnails/long_3768.jpg', 'title': "Small Talk: 17 Natural English Phrases You'll Actually Use", 'description': "Master the art of small talk with 17 natural English phrases that help you sound more like a native speaker. Many English learners struggle to move beyond textbook dialogue, but these practical expressions will help you feel confident in any social situation. Whether you are asking to sit in a crowded cafe, confirming plans with a friend, or breaking the ice with someone new, this video covers the essential social English you need to know. Stop sounding robotic and start having natural conversations today with Taky's Language School.", 'tags': ['English conversation', 'Small talk English', 'Speak natural English', 'English phrases for Japanese speakers', 'Practical English', 'Learn English online', 'English listening practice'], 'video_type': 'long'}
[2026-09-22T00:46:22.496+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-09-22T00:46:22.523+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=youtube_english_video_pipeline, task_id=build_long_video_10, run_id=scheduled__2026-09-20T12:00:00+00:00, execution_date=20260920T120000, start_date=20260922T004419, end_date=20260922T004622
[2026-09-22T00:46:22.583+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2026-09-22T00:46:22.606+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2026-09-22T00:46:22.611+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
