[2026-08-11T02:31:31.302+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:31,302 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_1480.jpg
[2026-08-11T02:31:36.298+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:36,298 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1481.mp3
[2026-08-11T02:31:36.819+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:36,819 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1481.mp3
[2026-08-11T02:31:37.677+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:37,677 | INFO     | media.image_downloader | Downloaded background image for scene='coffee' -> /opt/airflow/output/images/long_1481.jpg
[2026-08-11T02:31:42.991+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:42,991 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1483.mp3
[2026-08-11T02:31:43.390+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:43,390 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1483.mp3
[2026-08-11T02:31:43.598+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:43,598 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_1483.jpg
[2026-08-11T02:31:48.191+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:48,191 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1488.mp3
[2026-08-11T02:31:48.574+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:48,574 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1488.mp3
[2026-08-11T02:31:48.831+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:48,831 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1488.jpg
[2026-08-11T02:31:54.069+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:54,068 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1490.mp3
[2026-08-11T02:31:54.572+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:54,572 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1490.mp3
[2026-08-11T02:31:54.797+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:54,796 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1490.jpg
[2026-08-11T02:31:59.234+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:59,233 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1492.mp3
[2026-08-11T02:31:59.698+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:59,698 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1492.mp3
[2026-08-11T02:31:59.975+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:59,975 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1492.jpg
[2026-08-11T02:32:08.311+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:32:08,311 | WARNING  | video.video_builder | BGM file not found at /opt/airflow/assets/bgm/long_bgm.mp3, rendering without background music
[2026-08-11T02:32:37.465+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:32:37,465 | INFO     | video.video_builder | Final video rendered -> /opt/airflow/output/videos/long_1453.mp4
[2026-08-11T02:32:45.894+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:32:45,894 | INFO     | media.thumbnail_builder | Built thumbnail -> /opt/airflow/output/thumbnails/long_1453.jpg
[2026-08-11T02:32:46.274+0000] {python.py:237} INFO - Done. Returned value was: {'video_id': 175, 'file_path': '/opt/airflow/output/videos/long_1453.mp4', 'thumbnail_path': '/opt/airflow/output/thumbnails/long_1453.jpg', 'title': '20 Useful English Expressions You Need for Daily Life & Travel', 'description': "Master essential English expressions for daily conversation and travel with Taky's Language School! In this video, you will learn 20 practical spoken English phrases to sound more natural in real-life situations.\n\nPhrases covered include:\n- I didn't quite catch that\n- Can you put it on my room tab?\n- How come?\n- Sounds like a plan!\n- Is this seat taken?\n- Keep the change\n- I'm running a few minutes late\n...and many more!\n\nSubscribe to Taky's Language School for weekly lessons on spoken English, practical vocabulary, and pronunciation tips to boost your confidence!", 'tags': ['spoken English', 'learn English', 'English expressions', 'daily English phrases', 'travel English', 'Takys Language School', 'English conversation practice', 'useful English phrases', 'speak English naturally', 'English for real life'], 'video_type': 'long'}
[2026-08-11T02:32:46.276+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-08-11T02:32:46.313+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=youtube_english_video_pipeline, task_id=build_long_video_2, run_id=manual__2026-08-11T02:25:49.703167+00:00, execution_date=20260811T022549, start_date=20260811T023008, end_date=20260811T023246
[2026-08-11T02:32:46.406+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2026-08-11T02:32:46.641+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2026-08-11T02:32:46.651+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
