[2026-09-22T00:36:20.554+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:20,554 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_3748.jpg
[2026-09-22T00:36:25.834+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:25,834 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3751.mp3
[2026-09-22T00:36:26.114+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:26,114 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3751.mp3
[2026-09-22T00:36:26.904+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:26,903 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_3751.jpg
[2026-09-22T00:36:31.613+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:31,613 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3753.mp3
[2026-09-22T00:36:31.948+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:31,947 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3753.mp3
[2026-09-22T00:36:32.469+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:32,469 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3753.jpg
[2026-09-22T00:36:36.529+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:36,528 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3761.mp3
[2026-09-22T00:36:36.894+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:36,894 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3761.mp3
[2026-09-22T00:36:37.352+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:37,351 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_3761.jpg
[2026-09-22T00:36:42.349+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:42,349 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3762.mp3
[2026-09-22T00:36:42.813+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:42,813 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3762.mp3
[2026-09-22T00:36:43.469+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:43,469 | INFO     | media.image_downloader | Downloaded background image for scene='airplane' -> /opt/airflow/output/images/long_3762.jpg
[2026-09-22T00:36:58.172+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:58,172 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3763.mp3
[2026-09-22T00:36:58.731+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:58,730 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3763.mp3
[2026-09-22T00:36:59.758+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:59,758 | INFO     | media.image_downloader | Downloaded background image for scene='trainstation' -> /opt/airflow/output/images/long_3763.jpg
[2026-09-22T00:37:04.585+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:37:04,585 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3764.mp3
[2026-09-22T00:37:04.994+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:37:04,994 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3764.mp3
[2026-09-22T00:37:05.776+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:37:05,776 | INFO     | media.image_downloader | Downloaded background image for scene='subway' -> /opt/airflow/output/images/long_3764.jpg
[2026-09-22T00:37:09.608+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:37:09,607 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3765.mp3
[2026-09-22T00:37:10.156+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:37:10,156 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3765.mp3
[2026-09-22T00:37:10.649+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:37:10,648 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3765.jpg
[2026-09-22T00:37:15.239+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:37:15,239 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3766.mp3
[2026-09-22T00:37:15.629+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:37:15,629 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3766.mp3
[2026-09-22T00:37:16.204+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:37:16,204 | INFO     | media.image_downloader | Downloaded background image for scene='reception' -> /opt/airflow/output/images/long_3766.jpg
[2026-09-22T00:37:21.202+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:37:21,201 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3767.mp3
[2026-09-22T00:37:21.574+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:37:21,574 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3767.mp3
[2026-09-22T00:37:22.685+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:37:22,685 | INFO     | media.image_downloader | Downloaded background image for scene='tourism' -> /opt/airflow/output/images/long_3767.jpg
[2026-09-22T00:37:31.587+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:37:31,587 | WARNING  | video.video_builder | BGM file not found at /opt/airflow/assets/bgm/long_bgm.mp3, rendering without background music
[2026-09-22T00:38:00.442+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:38:00,442 | INFO     | video.video_builder | Final video rendered -> /opt/airflow/output/videos/long_3701.mp4
[2026-09-22T00:38:04.455+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:38:04,455 | INFO     | media.thumbnail_builder | Built thumbnail -> /opt/airflow/output/thumbnails/long_3701.jpg
[2026-09-22T00:38:04.713+0000] {python.py:237} INFO - Done. Returned value was: {'video_id': 457, 'file_path': '/opt/airflow/output/videos/long_3701.mp4', 'thumbnail_path': '/opt/airflow/output/thumbnails/long_3701.jpg', 'title': 'Travel English: 20 Essential Phrases for Your Next Trip', 'description': 'Master essential Travel English with these 20 natural phrases designed to help you navigate airports, hotels, and cities with confidence. Many English learners rely on textbook phrasing that sounds stiff or unnatural to native speakers. In this video, Taky’s Language School breaks down the exact expressions you need to sound fluent and clear while traveling abroad. From checking into your hotel to asking for directions and dining out, these practical phrases will ensure you are understood in any situation. Stop worrying about language barriers and start traveling with ease. Perfect for Japanese speakers looking to improve their practical, spoken English communication skills for their next overseas adventure.', 'tags': ['Travel English', 'English for Japanese speakers', 'learn English', 'spoken English', 'English phrases', 'travel abroad', 'English conversation', 'hotel English', 'airport English', "Taky's Language School"], 'video_type': 'long'}
[2026-09-22T00:38:04.714+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-09-22T00:38:04.746+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=youtube_english_video_pipeline, task_id=build_long_video_7, run_id=scheduled__2026-09-20T12:00:00+00:00, execution_date=20260920T120000, start_date=20260922T003518, end_date=20260922T003804
[2026-09-22T00:38:04.817+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2026-09-22T00:38:04.989+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2026-09-22T00:38:04.992+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
