[2026-09-20T11:29:43.910+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:43,910 | INFO     | media.image_downloader | Downloaded background image for scene='conversation' -> /opt/airflow/output/images/long_3407.jpg
[2026-09-20T11:29:48.700+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:48,700 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3408.mp3
[2026-09-20T11:29:48.963+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:48,962 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3408.mp3
[2026-09-20T11:29:49.860+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:49,859 | INFO     | media.image_downloader | Downloaded background image for scene='social' -> /opt/airflow/output/images/long_3408.jpg
[2026-09-20T11:29:54.608+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:54,608 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3409.mp3
[2026-09-20T11:29:54.925+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:54,924 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3409.mp3
[2026-09-20T11:29:55.389+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:55,388 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3409.jpg
[2026-09-20T11:29:59.396+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:59,395 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3415.mp3
[2026-09-20T11:29:59.741+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:59,741 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3415.mp3
[2026-09-20T11:30:00.415+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:30:00,415 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_3415.jpg
[2026-09-20T11:30:05.800+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:30:05,800 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3417.mp3
[2026-09-20T11:30:06.118+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:30:06,118 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3417.mp3
[2026-09-20T11:30:06.656+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:30:06,656 | INFO     | media.image_downloader | Downloaded background image for scene='classroom' -> /opt/airflow/output/images/long_3417.jpg
[2026-09-20T11:30:11.552+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:30:11,552 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3422.mp3
[2026-09-20T11:30:11.907+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:30:11,907 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3422.mp3
[2026-09-20T11:30:12.396+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:30:12,396 | INFO     | media.image_downloader | Downloaded background image for scene='city' -> /opt/airflow/output/images/long_3422.jpg
[2026-09-20T11:30:18.239+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:30:18,239 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3423.mp3
[2026-09-20T11:30:18.566+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:30:18,566 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3423.mp3
[2026-09-20T11:30:19.046+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:30:19,046 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3423.jpg
