[2026-08-19T00:04:07.109+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:04:07,109 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1991.jpg
[2026-08-19T00:04:11.590+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:04:11,590 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1992.mp3
[2026-08-19T00:04:12.062+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:04:12,062 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1992.mp3
[2026-08-19T00:04:12.242+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:04:12,242 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1992.jpg
[2026-08-19T00:04:17.686+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:04:17,686 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1963.mp3
[2026-08-19T00:04:18.045+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:04:18,044 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1963.mp3
[2026-08-19T00:04:18.245+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:04:18,245 | INFO     | media.image_downloader | Downloaded background image for scene='commute' -> /opt/airflow/output/images/long_1963.jpg
[2026-08-19T00:04:24.873+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:04:24,873 | WARNING  | video.video_builder | BGM file not found at /opt/airflow/assets/bgm/long_bgm.mp3, rendering without background music
[2026-08-19T00:05:03.677+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:05:03,677 | INFO     | video.video_builder | Final video rendered -> /opt/airflow/output/videos/long_1964.mp4
[2026-08-19T00:05:13.597+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:05:13,597 | WARNING  | generators.metadata_generator | Metadata generation via Gemini failed, using fallback: RetryError[<Future at 0x7a07882e9a10 state=finished raised ResourceExhausted>]
[2026-08-19T00:05:13.759+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:05:13,759 | INFO     | media.thumbnail_builder | Built thumbnail -> /opt/airflow/output/thumbnails/long_1964.jpg
[2026-08-19T00:05:13.986+0000] {python.py:237} INFO - Done. Returned value was: {'video_id': 229, 'file_path': '/opt/airflow/output/videos/long_1964.mp4', 'thumbnail_path': '/opt/airflow/output/thumbnails/long_1964.jpg', 'title': '20 Daily English Expressions | Mixed English Expressions', 'description': "Learn natural English expressions with examples.\n\n- Could I get the check, please?\n- Do you have this in a medium?\n- I'd like to check in, please.\n- It completely slipped my mind.\n- Can I take a rain check?\n- I'm just browsing, thanks.\n- How have you been keeping?\n- Could we split the bill?\n- What time is checkout?\n- I'm stuck in traffic.", 'tags': ['english', 'learnenglish', 'dailyenglish', 'englishphrases'], 'video_type': 'long'}
[2026-08-19T00:05:13.987+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-08-19T00:05:14.022+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=youtube_english_video_pipeline, task_id=build_long_video_3, run_id=scheduled__2026-08-17T12:00:00+00:00, execution_date=20260817T120000, start_date=20260819T000226, end_date=20260819T000514
[2026-08-19T00:05:14.089+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2026-08-19T00:05:14.284+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2026-08-19T00:05:14.291+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
