[2026-08-11T02:35:22.886+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:22,886 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1586.mp3
[2026-08-11T02:35:23.103+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:23,103 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1586.jpg
[2026-08-11T02:35:27.278+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:27,278 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1588.mp3
[2026-08-11T02:35:27.709+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:27,708 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1588.mp3
[2026-08-11T02:35:27.930+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:27,930 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_1588.jpg
[2026-08-11T02:35:33.799+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:33,798 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1594.mp3
[2026-08-11T02:35:34.211+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:34,211 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1594.mp3
[2026-08-11T02:35:34.494+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:34,494 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1594.jpg
[2026-08-11T02:35:39.178+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:39,178 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1597.mp3
[2026-08-11T02:35:39.729+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:39,729 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1597.mp3
[2026-08-11T02:35:39.972+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:39,972 | INFO     | media.image_downloader | Downloaded background image for scene='car' -> /opt/airflow/output/images/long_1597.jpg
[2026-08-11T02:35:44.600+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:44,600 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1603.mp3
[2026-08-11T02:35:45.008+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:45,008 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1603.mp3
[2026-08-11T02:35:45.799+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:45,799 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1603.jpg
[2026-08-11T02:35:51.966+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:51,966 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1607.mp3
[2026-08-11T02:35:52.529+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:52,529 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1607.mp3
[2026-08-11T02:35:52.861+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:52,861 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_1607.jpg
[2026-08-11T02:36:02.008+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:36:02,007 | WARNING  | video.video_builder | BGM file not found at /opt/airflow/assets/bgm/long_bgm.mp3, rendering without background music
[2026-08-11T02:36:24.230+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:36:24,230 | INFO     | video.video_builder | Final video rendered -> /opt/airflow/output/videos/long_1511.mp4
[2026-08-11T02:36:31.788+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:36:31,788 | INFO     | media.thumbnail_builder | Built thumbnail -> /opt/airflow/output/thumbnails/long_1511.jpg
[2026-08-11T02:36:32.215+0000] {python.py:237} INFO - Done. Returned value was: {'video_id': 177, 'file_path': '/opt/airflow/output/videos/long_1511.mp4', 'thumbnail_path': '/opt/airflow/output/thumbnails/long_1511.jpg', 'title': '15 Essential English Phrases for Daily Conversation (Speak Like a Native)', 'description': "Want to speak English naturally in everyday situations? In this video from Taky's Language School, you'll learn practical daily English phrases to boost your speaking confidence.\n\nKey phrases covered in this video:\n- Could you give me a hand?\n- I'm running a bit late.\n- To make a long story short...\n- Can I take a rain check?\n- It's totally up to you.\n- ...and many more!\n\nMaster these common real-life expressions and start using them in your conversations today. Don't forget to practice by repeating each phrase out loud!\n\nSubscribe to Taky's Language School for more daily English lessons!\n\n#LearnEnglish #EnglishConversation #DailyEnglish #SpokenEnglish", 'tags': ['learn english', 'daily english conversation', 'english phrases', 'spoken english', 'speak english fluently', 'english conversation practice', 'takys language school', 'english listening practice', 'common english phrases', 'useful english expressions', 'daily conversation english', 'english learning'], 'video_type': 'long'}
[2026-08-11T02:36:32.217+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-08-11T02:36:32.241+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=youtube_english_video_pipeline, task_id=build_long_video_3, run_id=manual__2026-08-11T02:25:49.703167+00:00, execution_date=20260811T022549, start_date=20260811T023415, end_date=20260811T023632
[2026-08-11T02:36:32.304+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2026-08-11T02:36:32.483+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2026-08-11T02:36:32.487+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
