[2026-09-20T12:08:28.607+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:28,607 | INFO     | media.image_downloader | Downloaded background image for scene='classroom' -> /opt/airflow/output/images/long_3389.jpg
[2026-09-20T12:08:32.270+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:32,270 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3390.mp3
[2026-09-20T12:08:32.549+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:32,549 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3390.mp3
[2026-09-20T12:08:33.084+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:33,083 | INFO     | media.image_downloader | Downloaded background image for scene='coffee shop' -> /opt/airflow/output/images/long_3390.jpg
[2026-09-20T12:08:35.902+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:35,902 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3393.mp3
[2026-09-20T12:08:36.284+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:36,284 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3393.mp3
[2026-09-20T12:08:36.926+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:36,926 | INFO     | media.image_downloader | Downloaded background image for scene='desk' -> /opt/airflow/output/images/long_3393.jpg
[2026-09-20T12:08:40.697+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:40,697 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3395.mp3
[2026-09-20T12:08:41.036+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:41,036 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3395.mp3
[2026-09-20T12:08:41.538+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:41,538 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_3395.jpg
[2026-09-20T12:08:45.760+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:45,760 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3397.mp3
[2026-09-20T12:08:46.080+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:46,080 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3397.mp3
[2026-09-20T12:08:46.775+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:46,775 | INFO     | media.image_downloader | Downloaded background image for scene='conversation' -> /opt/airflow/output/images/long_3397.jpg
[2026-09-20T12:08:50.046+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:50,046 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3398.mp3
[2026-09-20T12:08:50.341+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:50,341 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3398.mp3
[2026-09-20T12:08:50.811+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:50,811 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3398.jpg
[2026-09-20T12:08:54.253+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:54,253 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3400.mp3
[2026-09-20T12:08:54.635+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:54,635 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3400.mp3
[2026-09-20T12:08:55.054+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:55,053 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_3400.jpg
[2026-09-20T12:08:59.867+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:59,867 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3401.mp3
[2026-09-20T12:09:00.178+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:09:00,178 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3401.mp3
[2026-09-20T12:09:00.758+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:09:00,758 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_3401.jpg
[2026-09-20T12:09:04.300+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:09:04,300 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3359.mp3
[2026-09-20T12:09:04.603+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:09:04,603 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3359.mp3
[2026-09-20T12:09:05.192+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:09:05,192 | INFO     | media.image_downloader | Downloaded background image for scene='moving' -> /opt/airflow/output/images/long_3359.jpg
[2026-09-20T12:09:09.481+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:09:09,481 | WARNING  | video.video_builder | BGM file not found at /opt/airflow/assets/bgm/long_bgm.mp3, rendering without background music
[2026-09-20T12:09:38.830+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:09:38,830 | INFO     | video.video_builder | Final video rendered -> /opt/airflow/output/videos/long_3362.mp4
[2026-09-20T12:09:43.991+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:09:43,991 | INFO     | media.thumbnail_builder | Built thumbnail -> /opt/airflow/output/thumbnails/long_3362.jpg
[2026-09-20T12:09:44.122+0000] {python.py:237} INFO - Done. Returned value was: {'video_id': 421, 'file_path': '/opt/airflow/output/videos/long_3362.mp4', 'thumbnail_path': '/opt/airflow/output/thumbnails/long_3362.jpg', 'title': '20 Essential English Phrases for Daily Conversations | Improve Your Spoken English', 'description': "Master 20 essential English phrases to sound more natural and confident in your daily conversations! Whether you are traveling, shopping, or meeting new people, these practical expressions from Taky's Language School will help you communicate with ease. We cover everything from ordering at a restaurant and asking for directions to handling social interactions with native speakers. Practice these phrases to improve your fluency and speak like a local. Don't forget to subscribe for more English lessons to boost your speaking skills! #EnglishLearning #SpokenEnglish #LearnEnglish #EnglishPhrases #ESL #TakyLanguageSchool", 'tags': ['learn english', 'english phrases', 'spoken english', 'english conversation', 'english for beginners', 'english speaking practice', 'daily english', 'english expressions', 'improve english', 'english vocabulary', "taky's language school", 'esl'], 'video_type': 'long'}
[2026-09-20T12:09:44.123+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-09-20T12:09:44.144+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=youtube_english_video_pipeline, task_id=build_long_video_4, run_id=scheduled__2026-09-19T12:00:00+00:00, execution_date=20260919T120000, start_date=20260920T120738, end_date=20260920T120944
[2026-09-20T12:09:44.175+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2026-09-20T12:09:44.337+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2026-09-20T12:09:44.341+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
